Name,PDGA Number,Rating,Province,Career Events,Career Wins,Career Earnings,Tournament Year,Tournament Name,Division,Finish Position
Shukur Bin Hasran,8515,,NS,Not specified,Not specified,Not specified,,,,
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,,,,
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2024,Blomidon Spring Tournament,Mixed Pro Open,1
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Battle on the Bann ‘23 in association with Flickline Disc golf,Mixed Pro Open,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Haliburton House Huck,Mixed Pro Open,12
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Flickline Disc Golf’s Sackville Showdown,Mixed Pro Open,5
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Flickline’s Rose Valley tour stop,Mixed Pro Open,4
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Canadian National Doubles Championships,Mixed Pro Open,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,The Waterville Open,Mixed Pro Open,6
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,The Iron Leaf,Mixed Pro Open,9
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Dieppe Disc Demons Little Caesars Fun Doubles,Mixed Pro Open,4
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Flickline Tour Hillsborough,Mixed Pro Open,6
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,CBU Open,Mixed Pro 40+,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Stephenville open,Mixed Pro 40+,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Mauzy Day Classic Presented by FlickLine Disc Golf.,Mixed Pro 40+,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Fundy National Park Disc Golf Day Aug 16th,Mixed Pro 40+,1
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2023,Wallace River last Dash,Mixed Pro 40+,1
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,HPDGC 2022 Club Opener,Open,4
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,NSDGT - New Minas,Open,3
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,B Tier at Beech Hill,Open,3
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,CBU Open: Presented by FlickLine Disc Golf,Open,8
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,Stephenville Open Presented by FlickLine Disc Golf,Open,1
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,Corner brook flex start,Open,1
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,Mauser Day Classic,Open,2
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,The Kings Pine Cup Presented by FlickLine Disc Golf.,Open,5
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,"NSDGT - Tour Finale, Hammonds Plains & Windsor",Open,4
Benjamin Smith,34835,937,Nova Scotia,Not specified,Not specified,Not specified,2022,The Iron Leaf,Open,5
